[09:28:06] WORK_LEAF_BENCH_TEMP=/tmp/work-leaf-3feature-bench.39ewG9
[09:28:06] WORK_LEAF_BENCH_SOURCE_HEAD=7014e00d15ecb242e3848478da86f5b8dcbbf114
Cloning into '/tmp/work-leaf-3feature-bench.39ewG9/repo'...
done.
HEAD is now at 7014e00 v0.1.1
[09:28:07] WORK_LEAF_BENCH_BASE=69f1bd7d02bf4f406db9a86d1e5fdec28ee5c5c3
[09:28:07] daemon URL: http://127.0.0.1:38749
[09:28:07] web UI URL: http://127.0.0.1:40935
[09:28:07] started 3 patch agents
[09:28:07] elapsed=1s busy=true user-1:Launching:-:lines=0:title=add-vim-visual-mode-both-panes | user-2:Launching:-:lines=0:title=implement-strict-selected-agent-slash | user-3:Launching:-:lines=0:title=when-review-process-done-patch-agent
[09:28:12] elapsed=6s busy=true user-1:WaitingForReply:-:lines=2:title=add-vim-visual-mode-both-panes | user-2:Launching:-:lines=0:title=implement-strict-selected-agent-slash | user-3:Launching:-:lines=0:title=when-review-process-done-patch-agent
[09:28:17] elapsed=11s busy=true user-1:WaitingForReply:-:lines=2:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=2:title=implement-strict-selected-agent-slash | user-3:Launching:-:lines=0:title=when-review-process-done-patch-agent
[09:28:22] elapsed=16s busy=true user-1:WaitingForReply:-:lines=4:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=2:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=2:title=when-review-process-done-patch-agent
[09:28:27] elapsed=21s busy=true user-1:WaitingForReply:-:lines=5:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=4:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=2:title=when-review-process-done-patch-agent
[09:28:32] elapsed=26s busy=true user-1:WaitingForReply:-:lines=7:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=4:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=4:title=when-review-process-done-patch-agent
[09:28:37] elapsed=31s busy=true user-1:WaitingForReply:-:lines=10:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=5:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=4:title=when-review-process-done-patch-agent
[09:28:42] elapsed=36s busy=true user-1:WaitingForReply:-:lines=10:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=8:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=4:title=when-review-process-done-patch-agent
[09:28:47] elapsed=41s busy=true user-1:WaitingForReply:-:lines=17:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=10:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=4:title=when-review-process-done-patch-agent
[09:28:52] elapsed=46s busy=true user-1:WaitingForReply:-:lines=17:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=13:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=4:title=when-review-process-done-patch-agent
[09:28:58] elapsed=51s busy=true user-1:WaitingForReply:-:lines=17:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=13:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=8:title=when-review-process-done-patch-agent
[09:29:03] elapsed=57s busy=true user-1:WaitingForReply:-:lines=17:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=16:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=8:title=when-review-process-done-patch-agent
[09:29:08] elapsed=62s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=18:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=16:title=when-review-process-done-patch-agent
[09:29:13] elapsed=67s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=21:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=24:title=when-review-process-done-patch-agent
[09:29:18] elapsed=72s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=23:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=24:title=when-review-process-done-patch-agent
[09:29:28] elapsed=82s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=24:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=32:title=when-review-process-done-patch-agent
[09:29:33] elapsed=87s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=26:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=38:title=when-review-process-done-patch-agent
[09:29:38] elapsed=92s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=29:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=38:title=when-review-process-done-patch-agent
[09:29:43] elapsed=97s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=30:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=42:title=when-review-process-done-patch-agent
[09:29:48] elapsed=102s busy=true user-1:WaitingForReply:-:lines=26:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=32:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=44:title=when-review-process-done-patch-agent
[09:29:53] elapsed=107s busy=true user-1:WaitingForReply:-:lines=33:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=34:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=44:title=when-review-process-done-patch-agent
[09:29:58] elapsed=112s busy=true user-1:WaitingForReply:-:lines=33:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=35:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=44:title=when-review-process-done-patch-agent
[09:30:03] elapsed=117s busy=true user-1:WaitingForReply:-:lines=33:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=37:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=51:title=when-review-process-done-patch-agent
[09:30:23] elapsed=137s busy=true user-1:WaitingForReply:-:lines=33:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=37:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=60:title=when-review-process-done-patch-agent
[09:30:33] elapsed=147s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=37:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=60:title=when-review-process-done-patch-agent
[09:30:43] elapsed=157s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=37:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=69:title=when-review-process-done-patch-agent
[09:30:59] elapsed=173s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=39:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=69:title=when-review-process-done-patch-agent
[09:31:04] elapsed=178s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=42:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=69:title=when-review-process-done-patch-agent
[09:31:09] elapsed=183s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=43:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=69:title=when-review-process-done-patch-agent
[09:31:14] elapsed=188s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=45:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=69:title=when-review-process-done-patch-agent
[09:31:29] elapsed=203s busy=true user-1:WaitingForReply:-:lines=35:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=47:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=69:title=when-review-process-done-patch-agent
[09:31:39] elapsed=213s busy=true user-1:WaitingForReply:-:lines=37:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=47:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:31:49] elapsed=223s busy=true user-1:WaitingForReply:-:lines=40:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=49:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:31:59] elapsed=233s busy=true user-1:WaitingForReply:-:lines=42:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=49:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:32:14] elapsed=248s busy=true user-1:WaitingForReply:-:lines=43:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=49:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:32:45] elapsed=279s busy=true user-1:WaitingForReply:-:lines=45:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=49:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:32:50] elapsed=284s busy=true user-1:WaitingForReply:-:lines=50:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=49:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:33:15] elapsed=309s busy=true user-1:WaitingForReply:-:lines=52:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=51:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:33:20] elapsed=314s busy=true review-user-1:WaitingForReply:-:lines=0:title=review user-agent | user-1:-:-:lines=59:title=add-vim-visual-mode-both-panes | user-2:WaitingForReply:-:lines=51:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=76:title=when-review-process-done-patch-agent
[09:33:25] elapsed=319s busy=true review-user-1:WaitingForReply:-:lines=2:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:WaitingForReply:-:lines=51:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=78:title=when-review-process-done-patch-agent
[09:33:30] elapsed=324s busy=true review-user-1:WaitingForReply:-:lines=2:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:WaitingForReply:-:lines=54:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=78:title=when-review-process-done-patch-agent
[09:33:36] elapsed=329s busy=true review-user-1:WaitingForReply:-:lines=4:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:WaitingForReply:-:lines=56:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=78:title=when-review-process-done-patch-agent
[09:33:41] elapsed=335s busy=true review-user-1:WaitingForReply:-:lines=4:title=review user-agent | review-user-2:WaitingForReply:-:lines=0:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=implement-strict-selected-agent-slash | user-3:WaitingForReply:-:lines=78:title=when-review-process-done-patch-agent
[09:33:46] elapsed=340s busy=true review-user-1:WaitingForReply:-:lines=4:title=review user-agent | review-user-2:WaitingForReply:-:lines=2:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=strict-agent-slash-commands | user-3:WaitingForReply:-:lines=78:title=when-review-process-done-patch-agent
[09:33:51] elapsed=345s busy=true review-user-1:WaitingForReply:-:lines=7:title=review user-agent | review-user-2:WaitingForReply:-:lines=2:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=strict-agent-slash-commands | user-3:WaitingForReply:-:lines=83:title=when-review-process-done-patch-agent
[09:33:56] elapsed=350s busy=true review-user-1:WaitingForReply:-:lines=7:title=review user-agent | review-user-2:WaitingForReply:-:lines=4:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=strict-agent-slash-commands | user-3:WaitingForReply:-:lines=83:title=when-review-process-done-patch-agent
[09:34:01] elapsed=355s busy=true review-user-1:WaitingForReply:-:lines=16:title=review user-agent | review-user-2:WaitingForReply:-:lines=4:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=strict-agent-slash-commands | user-3:WaitingForReply:-:lines=83:title=when-review-process-done-patch-agent
[09:34:06] elapsed=360s busy=true review-user-1:WaitingForReply:-:lines=16:title=review user-agent | review-user-2:WaitingForReply:-:lines=4:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=strict-agent-slash-commands | user-3:WaitingForReply:-:lines=85:title=when-review-process-done-patch-agent
[09:34:11] elapsed=365s busy=true review-user-1:WaitingForReply:-:lines=25:title=review user-agent | review-user-2:WaitingForReply:-:lines=7:title=review user-agent | user-1:-:-:lines=59:title=vim-visual-mode-panes | user-2:-:-:lines=58:title=strict-agent-slash-commands | user-3:WaitingForReply:-:lines=90:title=when-review-process-done-patch-agent
[10:04:21] elapsed=2175s busy=true linearize:WaitingForReply:-:lines=362:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:04:31] elapsed=2185s busy=true linearize:WaitingForReply:-:lines=364:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:04:36] elapsed=2190s busy=true linearize:WaitingForReply:-:lines=365:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:04:46] elapsed=2200s busy=true linearize:WaitingForReply:-:lines=366:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:05:02] elapsed=2216s busy=true linearize:WaitingForReply:-:lines=367:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:05:07] elapsed=2221s busy=true linearize:WaitingForReply:-:lines=373:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:05:12] elapsed=2226s busy=true linearize:WaitingForReply:-:lines=380:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:05:42] elapsed=2256s busy=true linearize:WaitingForReply:-:lines=381:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:06:02] elapsed=2276s busy=true linearize:WaitingForReply:-:lines=382:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:06:17] elapsed=2291s busy=true linearize:WaitingForReply:-:lines=383:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:06:33] elapsed=2307s busy=true linearize:WaitingForReply:-:lines=392:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:06:58] elapsed=2332s busy=false linearize:-:-:lines=393:title=linearize reviewed patches | review-user-1:-:-:lines=72:title=review user-agent | review-user-2:-:-:lines=84:title=review user-agent | review-user-3:-:-:lines=100:title=review user-agent | user-1:-:NeedsDecision:lines=115:title=vim-visual-mode-panes | user-2:-:NeedsDecision:lines=147:title=strict-agent-slash-commands | user-3:-:NeedsDecision:lines=117:title=review-done-feature-confirmation
[10:06:58] running final code quality checks
[10:07:12] bench report: /home/user/src/work-leaf/bench-results/parallel-baseline-9-20260623T083811+0200/remaining-6/run-5/20260623T083811+0200-remaining6-r5-three-feature-bench.md
